"Module","BackendModule","Entity","FeatureAction","ActionKind","HttpMethod","BackendRoute","RequiredPermission","PermissionReference","UICoverageStatus","UIRouteOrPath","GapSeverity","BackendSource"
"Customers","Customers","Customers","UpdateCustomer","Workflow","PUT","""/api/v1/customers/customer"", async (UpdateCustomerRequest request, ISender sender) =>","PermissionList.CustomerPermissions.Edit","CustomerPermissions.Edit","In-page action reachable","/Customers/Customer/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/Customers/UpdateCustomer/UpdateCustomerEndpoint.cs"
"General settings","GeneralSettings","CompanySettings","GetCompanySetting","Workflow","GET","""/api/v1/Settings/company/{companyId}/setting"", async ([FromRoute] Guid companyId, [FromServices] ISender sender) =>","PermissionList.SystemSettingsPermissions.View","SystemSettingsPermissions.View","Menu reachable","/GeneralSettings/Currencies","Covered","src/Modules/GeneralSettings/GeneralSettings/GeneralSettings/Features/CompanySettings/GetCompanySetting/GetCompanySettingEndpoint.cs"
"General settings","GeneralSettings","CompanySettings","UpdateCompanySetting","Edit","PUT","""/api/v1/Settings/company/{companyId}/setting"",","PermissionList.SystemSettingsPermissions.Edit","SystemSettingsPermissions.Edit","In-page action reachable","/GeneralSettings/Currencies","Covered","src/Modules/GeneralSettings/GeneralSettings/GeneralSettings/Features/CompanySettings/UpdateCompanySetting/UpdateCompanySettingEndpoint.cs"
"General settings","GeneralSettings","Currencies","CreateCurrency","Workflow","POST","""/api/v1/Settings/company/{companyId}/currencies"",","PermissionList.SystemSettingsPermissions.Edit","SystemSettingsPermissions.Edit","In-page action reachable","/GeneralSettings/Currencies","Covered","src/Modules/GeneralSettings/GeneralSettings/GeneralSettings/Features/Currencies/CreateCurrency/CreateCurrencyEndpoint.cs"
"General settings","GeneralSettings","Currencies","DeleteCurrency","Delete","DELETE","""/api/v1/Settings/company/{companyId}/currencies/{currencyId}"",","PermissionList.SystemSettingsPermissions.Edit","SystemSettingsPermissions.Edit","In-page action reachable","/GeneralSettings/Currencies","Covered","src/Modules/GeneralSettings/GeneralSettings/GeneralSettings/Features/Currencies/DeleteCurrency/DeleteCurrencyEndpoint.cs"
"General settings","GeneralSettings","Currencies","GetCurrencies","Workflow","GET","""/api/v1/Settings/company/{companyId}"", async ([FromRoute] Guid companyId, [AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.SystemSettingsPermissions.View","SystemSettingsPermissions.View","Menu reachable","/GeneralSettings/Currencies","Covered","src/Modules/GeneralSettings/GeneralSettings/GeneralSettings/Features/Currencies/GetCurrencies/GetCurrenciesEndpoint.cs"
"General settings","GeneralSettings","Currencies","UpdateCurrency","Edit","PUT","""/api/v1/Settings/company/{companyId}/currencies/{currencyId}"",","PermissionList.SystemSettingsPermissions.Edit","SystemSettingsPermissions.Edit","In-page action reachable","/GeneralSettings/Currencies","Covered","src/Modules/GeneralSettings/GeneralSettings/GeneralSettings/Features/Currencies/UpdateCurrency/UpdateCurrencyEndpoint.cs"
"HR employees","Employee","AcademicInstitutions","CreateAcademicInstitution","Workflow","POST","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"", async (CreateAcademicInstitutionRequest request, ISender sender) =>","PermissionList.AcademicInistitutionPermissions.Create","AcademicInistitutionPermissions.Create","In-page action reachable","/Employee/AcademicInistitution/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/CreateAcademicInstitution/CreateAcademicInstitutionEndpoint.cs"
"HR employees","Employee","AcademicInstitutions","DeleteAcademicInstitution","Workflow","DELETE","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.AcademicInistitutionPermissions.Delete","AcademicInistitutionPermissions.Delete","In-page action reachable","/Employee/AcademicInistitution/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/DeleteAcademicInstitution/DeleteAcademicInstitutionEndpoint.cs"
"HR employees","Employee","AcademicInstitutions","GetAcademicInstitutionById","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.AcademicInistitutionPermissions.View","AcademicInistitutionPermissions.View","Menu reachable","/Employee/Specialization/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/GetAcademicInstitutionById/GetAcademicInstitutionByIdEndPoint.cs"
"HR employees","Employee","AcademicInstitutions","GetAcademicInstitutionsByCompany","View/List","GET","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}/company"" + ""/{companyId}"",","PermissionList.AcademicInistitutionPermissions.View","AcademicInistitutionPermissions.View","Menu reachable","/Employee/Specialization/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/GetAcademicInstitutionsByCompany/GetAcademicInstitutionsByCompanyEndpoint.cs"
"HR employees","Employee","AcademicInstitutions","UpdateAcademicInstitution","Edit","PUT","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"",","PermissionList.AcademicInistitutionPermissions.Edit","AcademicInistitutionPermissions.Edit","In-page action reachable","/Employee/AcademicInistitution/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/UpdateAcademicInstitution/UpdateAcademicInstitutionEndpoint.cs"
"HR employees","Employee","Employees","ChangePosition","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/ChangePosition"", async (ChangePositionRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","In-page action reachable","/Employee/Employee/Form/{Id:guid?}","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/ChangePosition/ChangePositionEndpoint.cs"
"HR employees","Employee","Employees","CreateEmployee","Workflow","POST","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}"", async (CreateEmployeeRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Create","EmployeePermissions.Create","In-page action reachable","/Employee/Employee/Form/{Id:guid?}","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/CreateEmployee/CreateEmployeeEndpoint.cs"
"HR employees","Employee","Employees","DeleteEmployee","Workflow","DELETE","""/api/v1/Employee/Employees/{id}"", async ([FromRoute]Guid id,[FromServices] ISender sender) =>","PermissionList.EmployeePermissions.Delete","EmployeePermissions.Delete","In-page action reachable","/Employee/Employee/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/DeleteEmployee/DeleteEmployeeEndpoint.cs"
"HR employees","Employee","Employees","GetByPosition","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Position"" + ""/{positionId}"", async ([FromRoute] Guid positionId, [AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","Menu reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetByPosition/GetByPositionEndpoint.cs"
"HR employees","Employee","Employees","GetEmployeeById","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","Menu reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeeById/GetEmployeeByIdEndPoint.cs"
"HR employees","Employee","Employees","GetEmployeesByAdministrationId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/administration"" + ""/{administrationId}"", async ([FromRoute] Guid administrationId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","Menu reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByAdministrationId/GetEmployeesByAdministrationIdEndpoint.cs"
"HR employees","Employee","Employees","GetEmployeesByBranchId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Branch"" + ""/{branchId}"", async ([FromRoute] Guid branchId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","Menu reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByBranchId/GetEmployeesByBranchIdEndpoint.cs"
"HR employees","Employee","Employees","GetEmployeesByCompanyId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/company"" + ""/{companyId}"", async ([FromRoute] Guid companyId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","Menu reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByCompanyId/GetEmployeesByCompanyIdEndpoint.cs"
"HR employees","Employee","Employees","GetEmployeesByDepartmentId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/department"" + ""/{departmentId}"", async ([FromRoute] Guid departmentId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","Menu reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByDepartmentId/GetEmployeesByDepartmentIdEndpoint.cs"
"HR employees","Employee","Employees","TerminateEmployee","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Terminate"", async (TerminateEmployeeRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","In-page action reachable","/Employee/Employee/Form/{Id:guid?}","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/TerminateEmployee/TerminateEmployeeEndpoint.cs"
"HR employees","Employee","Employees","TransferDepartment","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Transfer"", async (TransferDepartmentRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","In-page action reachable","/Employee/Employee/Form/{Id:guid?}","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/TransferDepartment/TransferDepartmentEndpoint.cs"
"HR employees","Employee","Employees","UpdateEmployee","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}"", async (UpdateEmployeeRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","In-page action reachable","/Employee/Employee/Form/{Id:guid?}","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/UpdateEmployee/UpdateEmployeeEndpoint.cs"
"HR employees","Employee","Positions","CreatePosition","Workflow","POST","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}"", async (CreatePositionRequest request, ISender sender) =>","PermissionList.PositionPermissions.Create","PositionPermissions.Create","In-page action reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/CreatePosition/CreatePositionEndpoint.cs"
"HR employees","Employee","Positions","DeletePosition","Workflow","DELETE","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.PositionPermissions.Delete","PositionPermissions.Delete","In-page action reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/DeletePosition/DeletePositionEndpoint.cs"
"HR employees","Employee","Positions","GetPositionById","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.PositionPermissions.View","PositionPermissions.View","Menu reachable","/Employee/AcademicInistitution/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/GetPositionById/GetPositionByIdEndpoint.cs"
"HR employees","Employee","Positions","GetPositions","View/List","GET","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}/company"" + ""/{companyId}"",","PermissionList.PositionPermissions.View","PositionPermissions.View","Menu reachable","/Employee/AcademicInistitution/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/GetPositions/GetPositionsEndpoint.cs"
"HR employees","Employee","Positions","UpdatePosition","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}"", async (UpdatePositionRequest request, ISender sender) =>","PermissionList.PositionPermissions.Edit","PositionPermissions.Edit","In-page action reachable","/Employee/Position/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/UpdatePosition/UpdatePositionEndpoint.cs"
"HR employees","Employee","Specializations","CreateSpecialization","Workflow","POST","$""{Utils.URL_PATTERN}/{Utils.Specialization_Endpoint}"", async (CreateSpecializationRequest request, ISender sender) =>","PermissionList.SpecializationPermissions.Create","SpecializationPermissions.Create","In-page action reachable","/Employee/Specialization/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Specializations/CreateSpecialization/CreateSpecializationEndpoint.cs"
"HR employees","Employee","Specializations","DeleteSpecialization","Workflow","DELETE","$""{Utils.URL_PATTERN}/{Utils.Specialization_Endpoint}"" + ""/{id}"", async ([FromRoute]Guid id, ISender sender) =>","PermissionList.SpecializationPermissions.Delete","SpecializationPermissions.Delete","In-page action reachable","/Employee/Specialization/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Specializations/DeleteSpecialization/DeleteSpecializationEndpoint.cs"
"HR employees","Employee","Specializations","GetSpecializationById","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Specialization_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.SpecializationPermissions.View","SpecializationPermissions.View","In-page action reachable","/Employee/Specialization/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Specializations/GetSpecializationById/GetSpecializationByIdEndpoint.cs"
"HR employees","Employee","Specializations","GetSpecializationsByCompany","View/List","GET","$""{Utils.URL_PATTERN}/{Utils.Specialization_Endpoint}/company"" + ""/{companyId}"",","PermissionList.SpecializationPermissions.View","SpecializationPermissions.View","In-page action reachable","/Employee/Specialization/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Specializations/GetSpecializationsByCompany/GetSpecializationsByCompanyEndpoint.cs"
"HR employees","Employee","Specializations","UpdateSpecialization","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Specialization_Endpoint}"", async (UpdateSpecializationRequest request, ISender sender) =>","PermissionList.SpecializationPermissions.Edit","SpecializationPermissions.Edit","In-page action reachable","/Employee/Specialization/List","Covered","src/Modules/Employee/EmployeeModule/Employees/Features/Specializations/UpdateSpecialization/UpdateSpecializationEndpoint.cs"
"Inventory","Inventory","Batches","CreateBatch","Workflow","POST","""/api/v1/inventory/batches"", async (CreateBatchRequest request, ISender sender) =>","PermissionList.BatchPermissions.Create","BatchPermissions.Create","In-page action reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Batches/CreateBatch/CreateBatchEndPoint.cs"
"Inventory","Inventory","Batches","GetBatchById","Workflow","GET","""/api/v1/inventory/batches/{id:guid}"", async (Guid id, [FromServices] ISender sender) =>","PermissionList.BatchPermissions.View","BatchPermissions.View","In-page action reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Batches/GetBatchById/GetBatchByIdEndPoint.cs"
"Inventory","Inventory","Batches","GetBatches","Workflow","GET","""/api/v1/inventory/batches/company/{companyId}"", async ([FromRoute]Guid companyId,[AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.BatchPermissions.View","BatchPermissions.View","In-page action reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Batches/GetBatches/GetBatchesEndPoint.cs"
"Inventory","Inventory","Batches","GetBatchesByProduct","Workflow","GET","""/api/v1/inventory/batches/productId/{productId}"", async ([FromRoute] Guid productId, [AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.BatchPermissions.View","BatchPermissions.View","In-page action reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Batches/GetBatchesByProduct/GetBatchesByProductEndPoint.cs"
"Inventory","Inventory","Batches","GetBatchesByProductSKU","Workflow","GET","""/api/v1/inventory/batches/productSkuId/{productSkuId}"", async ([FromRoute] Guid productSkuId, [AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.BatchPermissions.View","BatchPermissions.View","In-page action reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Batches/GetBatchesByProductSKU/GetBatchesByProductSKUEndpoint.cs"
"Inventory","Inventory","Batches","RemoveBatch","Workflow","DELETE","""/api/v1/inventory/batches/{id:guid}"", async (Guid id, ISender sender) =>","PermissionList.BatchPermissions.Delete","BatchPermissions.Delete","In-page action reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Batches/RemoveBatch/RemoveBatchEndPoint.cs"
"Inventory","Inventory","Batches","UpdateBatch","Workflow","PUT","""/api/v1/inventory/batches"", async (UpdateBatchRequest request, ISender sender) =>","PermissionList.BatchPermissions.Edit","BatchPermissions.Edit","In-page action reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Batches/UpdateBatch/UpdateBatchEndPoint.cs"
"Inventory","Inventory","Inventories","GetByWarehouseAndSku","View/List","GET","""/api/v1/Inventory/inventories/warehouse/{warehouseId}/sku/{skuId}"",","PermissionList.InventoryPermissions.View, PermissionList.InventoryItemPermissions.View","InventoryPermissions.View","Menu reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Inventories/InventoryQueries/GetByWarehouseAndSku/GetByWarehouseAndSkuEndpoint.cs"
"Inventory","Inventory","Inventories","GetInventories","Workflow","GET","""/api/v1/inventory/inventories"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.InventoryPermissions.View","InventoryPermissions.View","Menu reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Inventories/InventoryQueries/GetInventories/GetInventoriesEndPoint.cs"
"Inventory","Inventory","Inventories","GetInventoriesByBatch","View/List","GET","""/api/v1/inventory/inventories/batch/{batchId}"",","PermissionList.InventoryPermissions.View, PermissionList.InventoryItemPermissions.View,PermissionList.BatchPermissions.View","InventoryPermissions.View","Menu reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Inventories/InventoryQueries/GetInventoriesByBatch/GetInventoriesByBatchEndpoint.cs"
"Inventory","Inventory","Inventories","GetInventoriesByCompany","Workflow","GET","""/api/v1/inventory/inventories/company/{companyId}"", async ([FromRoute]Guid companyId,[AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.InventoryPermissions.View","InventoryPermissions.View","Menu reachable","/Inventory/Batch/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Inventories/InventoryQueries/GetInventoriesByCompany/GetInventoriesByCompanyEndPoint.cs"
"Inventory","Inventory","Inventories","StockOut","Workflow","POST","""/api/v1/inventory/inventories/StockOut"", async (StockOutRequest request, ISender sender) =>","PermissionList.InventoryPermissions.Edit, PermissionList.InventoryItemPermissions.Edit","InventoryPermissions.Edit","In-page action reachable","/Inventories/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Inventories/StockOut/StockOutEndpoint.cs"
"Inventory","Inventory","Inventories","StockRelease","Workflow","POST","""/api/v1/inventory/inventories/StockRelease"", async (StockReleaseRequest request, ISender sender) =>","PermissionList.InventoryPermissions.Edit, PermissionList.InventoryItemPermissions.Edit","InventoryPermissions.Edit","In-page action reachable","/Inventories/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Inventories/StockRelease/StockReleaseEndpoint.cs"
"Inventory","Inventory","Inventories","StockReservation","Workflow","POST","""/api/v1/inventory/inventories/StockReservation"", async (StockReservationRequest request, ISender sender) =>","PermissionList.InventoryPermissions.Edit, PermissionList.InventoryItemPermissions.Edit","InventoryPermissions.Edit","In-page action reachable","/Inventories/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Inventories/StockReservation/StockReservationEndpoint.cs"
"Inventory","Inventory","Warehouses","CreateWarehouse","Workflow","POST","""/api/v1/Inventory/warehouses"", async (CreateWarehouseRequest request, ISender sender) =>","PermissionList.WarehousePermissions.Create","WarehousePermissions.Create","In-page action reachable","/Inventory/Warehouse/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Warehouses/CreateWarehouse/CreateWarehouseEndPoint.cs"
"Inventory","Inventory","Warehouses","GetWarehouseById","Workflow","GET","""/api/v1/inventory/warehouses/{id:guid}"", async (Guid id,[FromServices] ISender sender) =>","PermissionList.WarehousePermissions.View","WarehousePermissions.View","Menu reachable","/Inventories/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Warehouses/GetWarehouseById/GetWarehouseByIdEndPoint.cs"
"Inventory","Inventory","Warehouses","GetWarehouses","Workflow","GET","""/api/v1/inventory/warehouses/company/{companyId}"", async ([FromRoute]Guid companyId,[AsParameters] PaginationRequest paginationRequest, ISender sender) =>","PermissionList.WarehousePermissions.View","WarehousePermissions.View","Menu reachable","/Inventories/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Warehouses/GetWarehouses/GetWarehousesEndPoint.cs"
"Inventory","Inventory","Warehouses","RemoveWarehouse","Workflow","DELETE","""/api/v1/inventory/warehouses/{id:guid}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","PermissionList.WarehousePermissions.Delete","WarehousePermissions.Delete","In-page action reachable","/Inventory/Warehouse/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Warehouses/RemoveWarehouse/RemoveWarehouseEndPoint.cs"
"Inventory","Inventory","Warehouses","UpdateWarehouse","Workflow","PUT","""/api/v1/inventory/warehouses"", async (UpdateWarehouseRequest request, ISender sender) =>","PermissionList.WarehousePermissions.Edit","WarehousePermissions.Edit","In-page action reachable","/Inventory/Warehouse/List","Covered","src/Modules/Inventory/Inventory/Warehouses/Features/Warehouses/UpdateWarehouse/UpdateWarehouseEndpoint.cs"
"Organization","Organization","Administrations","CreateAdministration","Workflow","POST","$""{Utils.ROUTE_PATTERN}/{Utils.AdministrationEndpoint}"", async (CreateAdministrationRequest request, ISender sender) =>","PermissionList.AdministrationPermissions.Create","AdministrationPermissions.Create","In-page action reachable","/Organization/Administration/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Administrations/CreateAdministration/CreateAdministrationEdnpoint.cs"
"Organization","Organization","Administrations","DeleteAdministration","Workflow","DELETE","$""{Utils.ROUTE_PATTERN}/{Utils.AdministrationEndpoint}"" + ""/{id:guid}"", async ([FromRoute] Guid id, ISender sender) =>","PermissionList.AdministrationPermissions.Delete","AdministrationPermissions.Delete","In-page action reachable","/Organization/Administration/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Administrations/DeleteAdministration/DeleteAdministrationEndpoint.cs"
"Organization","Organization","Administrations","GetAdministrationById","Workflow","GET","$""{Utils.ROUTE_PATTERN}/{Utils.AdministrationEndpoint}/"" + ""{id:guid}"", async ([FromRoute]Guid id, ISender sender) =>","PermissionList.AdministrationPermissions.View","AdministrationPermissions.View","Menu reachable","/Organization/Department/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Administrations/GetAdministrationById/GetAdministrationByIdEndpoint.cs"
"Organization","Organization","Administrations","GetAdministrations","Workflow","GET","$""{Utils.ROUTE_PATTERN}/{Utils.AdministrationEndpoint}"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.AdministrationPermissions.View","AdministrationPermissions.View","Menu reachable","/Organization/Department/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Administrations/GetAdministrations/GetAdministrationsEndpoint.cs"
"Organization","Organization","Administrations","GetAdministrationsByBranchId","Workflow","GET","$""{Utils.ROUTE_PATTERN}/{Utils.AdministrationEndpoint}""+""/BranchId/{branchId}"", async ([FromRoute]Guid branchId,[AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.AdministrationPermissions.View","AdministrationPermissions.View","Menu reachable","/Organization/Department/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Administrations/GetAdministrationsByBranchId/GetAdministrationsByBranchIdEndpoint.cs"
"Organization","Organization","Administrations","UpdateAdministration","Workflow","PUT","$""{Utils.ROUTE_PATTERN}/{Utils.AdministrationEndpoint}"", async (UpdateAdministrationRequest request, ISender sender) =>","PermissionList.AdministrationPermissions.Edit","AdministrationPermissions.Edit","In-page action reachable","/Organization/Administration/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Administrations/UpdateAdministration/UpdateAdministrationEndpoint.cs"
"Organization","Organization","Branches","CreateBranch","Workflow","POST","$""{Utils.ROUTE_PATTERN}/{Utils.BranchEndpoint}"", async (CreateBranchRequest request, ISender sender) =>","PermissionList.BranchPermissions.Create","BranchPermissions.Create","In-page action reachable","/Organization/Branch/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Branches/CreateBranch/CreateBranchEndpoint.cs"
"Organization","Organization","Branches","DeleteBranch","Workflow","DELETE","$""{Utils.ROUTE_PATTERN}/{Utils.BranchEndpoint}/"" + ""{id:guid}"", async (Guid id, ISender sender) =>","PermissionList.BranchPermissions.Delete","BranchPermissions.Delete","In-page action reachable","/Organization/Branch/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Branches/DeleteBranch/DeleteBranchEndpoint.cs"
"Organization","Organization","Branches","GetBranchById","Workflow","GET","$""{Utils.ROUTE_PATTERN}/{Utils.BranchEndpoint}/"" + ""{id:guid}"", async (Guid id, ISender sender) =>","PermissionList.BranchPermissions.View","BranchPermissions.View","Menu reachable","/Organization/Administration/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Branches/GetBranchById/GetBranchByIdEndpoint.cs"
"Organization","Organization","Branches","GetBranches","Workflow","GET","$""{Utils.ROUTE_PATTERN}/{Utils.BranchEndpoint}"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.BranchPermissions.View","BranchPermissions.View","Menu reachable","/Organization/Administration/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Branches/GetBranches/GetBranchesEndpoint.cs"
"Organization","Organization","Branches","GetByCompanyId","Workflow","GET","$""{Utils.ROUTE_PATTERN}/{Utils.BranchEndpoint}/GetByCompanyId/"" + ""{companyId}"", async ([FromRoute] Guid companyId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.BranchPermissions.View","BranchPermissions.View","Menu reachable","/Organization/Administration/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Branches/GetByCompanyId/GetByCompanyIdEndpoint.cs"
"Organization","Organization","Branches","UpdateBranch","Workflow","PUT","$""{Utils.ROUTE_PATTERN}/{Utils.BranchEndpoint}"", async (UpdateBranchRequest request, ISender sender) =>","PermissionList.BranchPermissions.Edit","BranchPermissions.Edit","In-page action reachable","/Organization/Branch/List","Covered","src/Modules/Organization/Organization/Organizations/Features/Branches/UpdateBranch/UpdateBranchEndpoint.cs"
"Organization","Organization","Companies","CreateChildCompany","Workflow","POST","$""{Utils.ROUTE_PATTERN}/{Utils.CompanyEndpoint}/child-companies"", async (CreateChildCompanyRequest request, IHttpContextAccessor httpContextAccessor, ISender sender) =>","PermissionList.CompanyPermissions.CreateChild","CompanyPermissions.CreateChild","In-page action reachable","/Organization/ChildCompanies","Covered","src/Modules/Organization/Organization/Organizations/Features/Companies/CreateChildCompany/CreateChildCompanyEndpoint.cs"
